"trayID","ID","x","y","spID","state0","day"
1,"ID1",0.764999999999999,0.979874831559186,"kale","S",NA
1,"ID2",2.765,0.979874831559186,"kale","S",NA
1,"ID3",4.765,0.979874831559186,"kale","S",NA
1,"ID4",6.765,0.979874831559186,"kale","S",NA
1,"ID5",8.765,0.979874831559186,"kale","S",NA
1,"ID6",10.765,0.979874831559186,"kale","S",NA
1,"ID7",12.765,0.979874831559186,"kale","S",NA
1,"ID8",14.765,0.979874831559186,"kale","S",NA
1,"ID9",16.765,0.979874831559186,"kale","S",NA
1,"ID10",18.765,0.979874831559186,"kale","S",NA
1,"ID11",20.765,0.979874831559186,"kale","S",NA
1,"ID12",22.765,0.979874831559186,"kale","S",NA
1,"ID13",1.765,2.71192563912806,"kale","S",NA
1,"ID14",3.765,2.71192563912806,"kale","S",NA
1,"ID15",5.765,2.71192563912806,"kale","S",NA
1,"ID16",7.765,2.71192563912806,"kale","S",NA
1,"ID17",9.765,2.71192563912806,"kale","C",NA
1,"ID18",11.765,2.71192563912806,"kale","S",NA
1,"ID19",13.765,2.71192563912806,"kale","S",NA
1,"ID20",15.765,2.71192563912806,"kale","S",NA
1,"ID21",17.765,2.71192563912806,"kale","C",NA
1,"ID22",19.765,2.71192563912806,"kale","S",NA
1,"ID23",21.765,2.71192563912806,"kale","C",NA
1,"ID24",23.765,2.71192563912806,"kale","S",NA
1,"ID25",0.764999999999999,4.44397644669694,"kale","S",NA
1,"ID26",2.765,4.44397644669694,"kale","S",NA
1,"ID27",4.765,4.44397644669694,"kale","C",NA
1,"ID28",6.765,4.44397644669694,"kale","S",NA
1,"ID29",8.765,4.44397644669694,"kale","S",NA
1,"ID30",10.765,4.44397644669694,"kale","S",NA
1,"ID31",12.765,4.44397644669694,"kale","S",NA
1,"ID32",14.765,4.44397644669694,"kale","C",NA
1,"ID33",16.765,4.44397644669694,"kale","S",NA
1,"ID34",18.765,4.44397644669694,"kale","S",NA
1,"ID35",20.765,4.44397644669694,"kale","S",NA
1,"ID36",22.765,4.44397644669694,"kale","S",NA
1,"ID37",1.765,6.17602725426582,"kale","S",NA
1,"ID38",3.765,6.17602725426582,"kale","S",NA
1,"ID39",5.765,6.17602725426582,"kale","S",NA
1,"ID40",7.765,6.17602725426582,"kale","S",NA
1,"ID41",9.765,6.17602725426582,"kale","S",NA
1,"ID42",11.765,6.17602725426582,"kale","S",NA
1,"ID43",13.765,6.17602725426582,"kale","S",NA
1,"ID44",15.765,6.17602725426582,"kale","S",NA
1,"ID45",17.765,6.17602725426582,"kale","S",NA
1,"ID46",19.765,6.17602725426582,"kale","S",NA
1,"ID47",21.765,6.17602725426582,"kale","S",NA
1,"ID48",23.765,6.17602725426582,"kale","S",NA
1,"ID49",0.764999999999999,7.90807806183469,"kale","C",NA
1,"ID50",2.765,7.90807806183469,"kale","S",NA
1,"ID51",4.765,7.90807806183469,"kale","S",NA
1,"ID52",6.765,7.90807806183469,"kale","S",NA
1,"ID53",8.765,7.90807806183469,"kale","S",NA
1,"ID54",10.765,7.90807806183469,"kale","S",NA
1,"ID55",12.765,7.90807806183469,"kale","S",NA
1,"ID56",14.765,7.90807806183469,"kale","S",NA
1,"ID57",16.765,7.90807806183469,"kale","S",NA
1,"ID58",18.765,7.90807806183469,"kale","S",NA
1,"ID59",20.765,7.90807806183469,"kale","S",NA
1,"ID60",22.765,7.90807806183469,"kale","S",NA
1,"ID61",1.765,9.64012886940357,"kale","C",NA
1,"ID62",3.765,9.64012886940357,"kale","C",NA
1,"ID63",5.765,9.64012886940357,"kale","S",NA
1,"ID64",7.765,9.64012886940357,"kale","S",NA
1,"ID65",9.765,9.64012886940357,"kale","S",NA
1,"ID66",11.765,9.64012886940357,"kale","S",NA
1,"ID67",13.765,9.64012886940357,"kale","S",NA
